t,     mx,           my,            mz
0, -0.9961947, 0.087155674, 0
2e-12, -0.99605955, 0.086839259, -0.017769013
4e-12, -0.99592984, 0.082846002, -0.03538126
6e-12, -0.99579487, 0.075289979, -0.052111253
8e-12, -0.99565467, 0.064355041, -0.067244059
1e-11, -0.99550918, 0.050375881, -0.08009553
1.2e-11, -0.99535808, 0.033827022, -0.090053049
1.4e-11, -0.99520106, 0.015305814, -0.096602776
1.6e-11, -0.99503777, -0.0044879244, -0.099353813
1.8e-11, -0.99486788, -0.024776843, -0.098058537
2e-11, -0.99469102, -0.044735339, -0.092628088
2.2e-11, -0.99450682, -0.06352198, -0.083141815
2.4e-11, -0.99431487, -0.080313767, -0.069850021
2.6e-11, -0.99411476, -0.094340759, -0.053169759
2.8e-11, -0.99390604, -0.10491995, -0.03367368
3e-11, -0.99368823, -0.11148662, -0.012071881
3.2e-11, -0.99346082, -0.11362195, 0.010812414
3.4e-11, -0.99322328, -0.11107561, 0.034072816
3.6e-11, -0.992975, -0.10378242, 0.056754254
3.8e-11, -0.99271537, -0.091871604, 0.077890679
4e-11, -0.9924437, -0.075668661, 0.096544657
4.2e-11, -0.99215927, -0.055688998, 0.11184713
4.4e-11, -0.99186132, -0.032623639, 0.12303589
4.6e-11, -0.99154905, -0.0073169349, 0.12949096
4.8e-11, -0.99122161, 0.019262501, 0.13076541
5e-11, -0.99087811, 0.046057407, 0.12661023
5.2e-11, -0.99051763, 0.071962226, 0.11699176
5.4e-11, -0.9901392, 0.095867017, 0.10210106
5.6e-11, -0.98974182, 0.11670306, 0.082354142
5.8e-11, -0.98932445, 0.13348845, 0.058383063
6e-11, -0.98888599, 0.14537172, 0.031017735
6.2e-11, -0.98842532, 0.15167161, 0.0012589251
6.4e-11, -0.98794123, 0.15191133, -0.029756755
6.6e-11, -0.98743249, 0.14584548, -0.060798693
6.8e-11, -0.9868978, 0.13347844, -0.090589478
7e-11, -0.98633582, 0.11507311, -0.11785564
7.2e-11, -0.98574515, 0.091149243, -0.1413801
7.4e-11, -0.98512436, 0.062471269, -0.16005385
7.6e-11, -0.98447201, 0.030025463, -0.17292523
7.8e-11, -0.9837866, -0.0050126456, -0.17924417
8e-11, -0.98306667, -0.041319805, -0.17849972
8.2e-11, -0.98231074, -0.077473956, -0.1704489
8.4e-11, -0.98151736, -0.11200876, -0.15513545
8.6e-11, -0.9806851, -0.14347175, -0.13289755
8.8e-11, -0.97981258, -0.17048349, -0.10436345
9e-11, -0.97889844, -0.19179575, -0.070435317
9.2e-11, -0.97794138, -0.20634587, -0.032261327
9.4e-11, -0.97694015, -0.21330511, 0.0088031384
9.6e-11, -0.97589352, -0.21211879, 0.051243717
9.8e-11, -0.97480037, -0.20253632, 0.093443064
1e-10, -0.97365959, -0.1846297, 0.13374252
